epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1303.05,0.96906,1.12779,1.02258,0.217,0.24636,0.16755,0.12141,1.1499,2.10389,1.09992,0.000208,0.000208,0.000208
82,1318.49,0.96958,1.11086,1.01604,0.29307,0.20415,0.17906,0.13092,1.16002,2.05918,1.12093,0.0001981,0.0001981,0.0001981
83,1336.05,0.96705,1.11929,1.02586,0.25342,0.22856,0.18198,0.13308,1.15833,2.09652,1.10419,0.0001882,0.0001882,0.0001882
84,1352.46,0.96563,1.08919,1.02192,0.19867,0.25617,0.17651,0.12978,1.14986,2.09018,1.09626,0.0001783,0.0001783,0.0001783
85,1369.95,0.98149,1.11933,1.02292,0.24495,0.21652,0.17587,0.12889,1.15897,2.07138,1.10357,0.0001684,0.0001684,0.0001684
86,1384.32,0.95562,1.07457,1.0179,0.32365,0.18857,0.17696,0.13071,1.15042,2.07647,1.10432,0.0001585,0.0001585,0.0001585
87,1399.26,0.9268,1.04959,1.00957,0.22454,0.24901,0.18194,0.13286,1.14022,2.11537,1.08469,0.0001486,0.0001486,0.0001486
88,1416.63,0.96439,1.09528,1.01918,0.21266,0.24196,0.18162,0.13186,1.16581,2.09171,1.09347,0.0001387,0.0001387,0.0001387
89,1432.34,0.94836,1.05975,1.00416,0.23317,0.24893,0.18475,0.13527,1.16236,2.11883,1.10342,0.0001288,0.0001288,0.0001288
90,1447.57,0.9508,1.0667,1.0115,0.21719,0.25102,0.18098,0.13309,1.15217,2.05816,1.08986,0.0001189,0.0001189,0.0001189
91,1467.07,0.78192,0.83181,0.91162,0.23299,0.2245,0.17147,0.12494,1.17688,2.1803,1.09854,0.000109,0.000109,0.000109
92,1482.34,0.77234,0.77012,0.90452,0.28352,0.21351,0.1701,0.12177,1.18753,2.19234,1.10875,9.91e-05,9.91e-05,9.91e-05
93,1495.96,0.75915,0.73378,0.90243,0.22471,0.24078,0.18006,0.13043,1.17527,2.15392,1.11266,8.92e-05,8.92e-05,8.92e-05
94,1509.22,0.75081,0.72321,0.8981,0.2368,0.25182,0.17754,0.12889,1.17631,2.11767,1.10528,7.93e-05,7.93e-05,7.93e-05
95,1523.34,0.75115,0.70215,0.89392,0.22978,0.25558,0.18378,0.13282,1.16731,2.11384,1.10269,6.94e-05,6.94e-05,6.94e-05
96,1536.43,0.75487,0.71466,0.89891,0.277,0.19822,0.18281,0.13379,1.16429,2.12137,1.10119,5.95e-05,5.95e-05,5.95e-05
97,1550.4,0.72906,0.69157,0.888,0.22106,0.267,0.17704,0.12862,1.17109,2.13466,1.09452,4.96e-05,4.96e-05,4.96e-05
98,1563.8,0.74207,0.68679,0.89428,0.24236,0.22068,0.18222,0.13184,1.16432,2.13068,1.10219,3.97e-05,3.97e-05,3.97e-05
99,1577.81,0.73065,0.68296,0.89107,0.22836,0.24855,0.18168,0.13205,1.16902,2.14093,1.10671,2.98e-05,2.98e-05,2.98e-05
100,1591.49,0.7409,0.68014,0.89378,0.21433,0.25959,0.18205,0.13268,1.16482,2.12314,1.10165,1.99e-05,1.99e-05,1.99e-05
